rank,subset_tags,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query_hits,first_query,relevance_score,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_snippet
21,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Combining task and motion planning for mobile manipulators,2020,,Aliakbar Akbari,https://doi.org/10.5821/dissertation-2117-176432,https://openalex.org/W3009475630,https://openalex.org/W3009475630,1,1,symbolic planning geometric feasibility robotics,71.0931,Task (project management); Motion planning; Robot; Motion (physics); Computer science; Human–computer interaction; Plan (archaeology); Artificial intelligence; Process (computing); Engineering; Systems engineering; Operating system,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"This thesis addresses the combination of task and motion planning which deals with different types of robotic manipulation problems. Manipulation problems are referred to as mobile manipulation, collaborative multiple mobile robots tasks, and even higher dimensional tasks (like bi-manual robots or mobile manipulators). Task and motion planning problems needs to obtain a geometrically feasible manipulation plan through symbolic and geometric search space. The combination of task and motion planning levels has emerged as a challenging issue as the failure leads robots to dead-end tasks due to geometric constraints. In addition, task planning is combined with physics-based motion planning and information to cope with manipulation tasks in which interactions between robots and objects are required, or also a low-cost feasible plan in terms of"
22,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,An incremental constraint-based framework for task and motion planning,2018,The International Journal of Robotics Research,Neil T. Dantam; Zachary Kingston; Swarat Chaudhuri; Lydia E. Kavraki,https://doi.org/10.1177/0278364918761570,https://openalex.org/W2794922736,https://openalex.org/W2794922736,124,5,robot planning constraints,70.9283,Planner; Leverage (statistics); Scalability; Computer science; Generality; Constraint (computer-aided design); Task (project management); Motion planning; Robot; Key (lock); Benchmark (surveying); Object (grammar),Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We present a new constraint-based framework for task and motion planning (TMP). Our approach is extensible, probabilistically complete, and offers improved performance and generality compared with a similar, state-of-the-art planner. The key idea is to leverage incremental constraint solving to efficiently incorporate geometric information at the task level. Using motion feasibility information to guide task planning improves scalability of the overall planner. Our key abstractions address the requirements of manipulation and object rearrangement. We validate our approach on a physical manipulator and evaluate scalability on scenarios with many objects and long plans, showing order-of-magnitude gains compared with the benchmark planner and improved scalability from additional geometric guidance. Finally, in addition to describing a new me"
23,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Accelerating Integrated Task and Motion Planning with Neural Feasibility Checking,2022,arXiv (Cornell University),Lei Xu; Tianyu Ren; Georgia Chalvatzaki; Jan Peters,https://doi.org/10.48550/arxiv.2203.10568,https://openalex.org/W4221138457,https://openalex.org/W4221138457,8,2,geometric constraints task motion planning,70.1972,Workspace; Computer science; Artificial intelligence; Motion planning; Robot; Task (project management); Convolutional neural network; Planner; Kinematics; Heuristic; Rendering (computer graphics); Motion (physics),Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"As robots play an increasingly important role in the industrial, the expectations about their applications for everyday living tasks are getting higher. Robots need to perform long-horizon tasks that consist of several sub-tasks that need to be accomplished. Task and Motion Planning (TAMP) provides a hierarchical framework to handle the sequential nature of manipulation tasks by interleaving a symbolic task planner that generates a possible action sequence, with a motion planner that checks the kinematic feasibility in the geometric world, generating robot trajectories if several constraints are satisfied, e.g., a collision-free trajectory from one state to another. Hence, the reasoning about the task plan's geometric grounding is taken over by the motion planner. However, motion planning is computationally intense and is usability as fea"
24,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,CaStL: Constraints as Specifications Through Llm Translation for Long-Horizon Task and Motion Planning,2025,,Weihang Guo; Zachary Kingston; Lydia E. Kavraki,https://doi.org/10.1109/icra55743.2025.11127555,https://openalex.org/W4413925878,https://openalex.org/W4413925878,4,1,task and motion planning constraints,70.0094,Translation (biology); Computer science; Task (project management); Motion (physics); Horizon; Motion planning; Artificial intelligence; Computer vision; Systems engineering; Engineering; Robot; Mathematics,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Large Language Models (LLMs) have demonstrated remarkable ability in long-horizon Task and Motion Planning (TAMP) by translating clear and straightforward natural language problems into formal specifications such as the Planning Domain Definition Language (PDDL). However, real-world problems are often ambiguous and involve many complex constraints. In this paper, we introduce Constraints as Specifications through LLMs (CaStL), a framework that identifies constraints such as goal conditions, action ordering, and action blocking from natural language in multiple stages. CaStL translates these constraints into PDDL and Python scripts, which are then solved using an custom PDDL solver. Tested across three PDDL domains, CaStL significantly improves constraint handling and planning success rates from natural language specification in complex sc"
25,landscape_1000|serious_skim_300|deep_read_225,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,Jason Wolfe; Bhaskara Marthi; Stuart Russell,https://doi.org/10.1609/icaps.v20i1.13436,https://openalex.org/W2143936212,https://openalex.org/W2143936212,206,9,task and motion planning constraints,69.6327,Task (project management); Computer science; Plan (archaeology); Reuse; Motion planning; Kinematics; Mobile robot; Motion (physics); Artificial intelligence; Human–computer interaction; State (computer science); Quality (philosophy),Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We present a hierarchical planning system and its application to robotic manipulation. The novel features of the system are: 1) it finds high-quality kinematic solutions to task-level problems; 2) it takes advantage of subtask-specific irrelevance information, reusing optimal solutions to state-abstracted subproblems across the search space. We briefly describe how the system handles uncertainty during plan execution, and present results on discrete problems as well as pick-and-place tasks for a mobile robot."
26,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Incremental Task and Motion Planning: A Constraint-Based Approach,2016,,Neil T. Dantam; Zachary Kingston; Swarat Chaudhuri; Lydia E. Kavraki,https://doi.org/10.15607/rss.2016.xii.002,https://openalex.org/W2468062401,https://openalex.org/W2468062401,168,10,robot planning constraints,69.2299,Computer science; Constraint (computer-aided design); Task (project management); Motion planning; Motion (physics); Artificial intelligence; Systems engineering; Mathematics; Engineering; Robot; Geometry,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We present a new algorithm for task and motion planning (TMP) and discuss the requirements and abstractions necessary to obtain robust solutions for TMP in general. Our Iteratively Deepened Task and Motion Planning (IDTMP) method is probabilistically-complete and offers improved performance and generality compared to a similar, state-of-theart, probabilistically-complete planner. The key idea of IDTMP is to leverage incremental constraint solving to efficiently add and remove constraints on motion feasibility at the task level. We validate IDTMP on a physical manipulator and evaluate scalability on scenarios with many objects and long plans, showing order-of-magnitude gains compared to the benchmark planner and a four-times self-comparison speedup from our extensions. Finally, in addition to describing a new method for TMP and its impleme"
27,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Constraint Graphs: Unifying task and motion planning for Navigation and Manipulation Among Movable Obstacles,2016,HAL (Le Centre pour la Communication Scientifique Directe),Joseph Mirabel; Florent Lamiraux,,https://openalex.org/W2471394985,https://openalex.org/W2471394985,4,1,task and motion planning constraints,69.1094,Constraint (computer-aided design); Task (project management); Computer science; Motion planning; Motion (physics); Human–computer interaction; Computer vision; Artificial intelligence; Mathematics; Engineering; Robot; Systems engineering,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We consider a class of advanced motion planning problems including object manipulation, navigation among movable obtacles and legged locomotion. Our approach uses rearrangement rules, encoded in a Constraint Graph, a formulation unifying high-level task planning and motion planning. Our method can compute manipulation paths for complex robots and movable-articulated-objects in a static environment, allowing for instance to generate continuous grasps and object placements. A new planning algorithm, Manipulation RRT, makes use of the Constraint Graph to solve Rearrangement problems and to produce rich feedbacks to higher level planners. Simulation results, for problems where movable objects must be manipulated simultaneously or several times, involving humanoid robots, are presented."
28,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Optimal Task and Motion Planning and Execution for Multiagent Systems in Dynamic Environments,2023,IEEE Transactions on Cybernetics,Marco Faroni; Alessandro Umbrico; Manuel Beschi; Andrea Orlandini; Amedeo Cesta; Nicola Pedrocchi,https://doi.org/10.1109/tcyb.2023.3263380,https://openalex.org/W4365444002,https://openalex.org/W4365444002,27,5,task and motion planning constraints,68.9322,Task (project management); Computer science; Motion (physics); Motion planning; Human–computer interaction; Distributed computing; Artificial intelligence; Systems engineering; Engineering; Robot,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Combining symbolic and geometric reasoning in multiagent systems is a challenging task that involves planning, scheduling, and synchronization problems. Existing works overlooked the variability of task duration and geometric feasibility intrinsic to these systems because of the interaction between agents and the environment. We propose a combined task and motion planning approach to optimize the sequencing, assignment, and execution of tasks under temporal and spatial variability. The framework relies on decoupling tasks and actions, where an action is one possible geometric realization of a symbolic task. At the task level, timeline-based planning deals with temporal constraints, duration variability, and synergic assignment of tasks. At the action level, online motion planning plans for the actual movements dealing with environmental c"
29,landscape_1000|serious_skim_300|deep_read_225,Environment Reconfiguration Planning for Autonomous Robotic Manipulation to overcome Mobility Constraints,2021,,Prateek Arora; Christos Papachristos,https://doi.org/10.1109/icra48506.2021.9560799,https://openalex.org/W3205886234,https://openalex.org/W3205886234,5,1,robot manipulation planning constraints,68.8918,Control reconfiguration; Leverage (statistics); Computer science; Mobile robot; Distributed computing; Robot; Terrain; Motion planning; Autonomous robot; Artificial intelligence; Control engineering; Embedded system,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"This paper presents a novel strategy for intelligent robotic environment reconfiguration applied to overcome mobility constraints with an autonomously exploring mobile manipulation system. A realistic problem arising during exploration of unknown challenging environments is the encountering of untraversable areas –given the robot’s mobility constraints– resulting in the robot getting stuck. We propose that given manipulation capabilities of an autonomous system, it should be possible to leverage loose entities in its surrounding to reconfigure its environment, and therefore potentially restore traversability to an unreachable region. This work’s contribution is two-fold: first, it proposes a mid-range traversability estimation graph-based backend which also allows early detection of terrain gaps, and secondly, it provides an algorithm for"
30,landscape_1000|serious_skim_300|deep_read_225,Safe and Robust Motion Planning for Dynamic Robotics via Control Barrier Functions,2021,2021 60th IEEE Conference on Decision and Control (CDC),Aniketh Manjunath; Quan Nguyen,https://doi.org/10.1109/cdc45484.2021.9682803,https://openalex.org/W4226452773,https://openalex.org/W4226452773,39,2,constraint-based motion planning robotics,68.7889,Robotics; Computer science; Motion planning; Artificial intelligence; Robot; Motion control; Control engineering; Engineering,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Sampling-based motion planning with constraint projection or rejection.,continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Control Barrier Functions (CBF) are widely used to enforce the safety-critical constraints on nonlinear systems. Recently, these functions are being incorporated into a path planning framework to design safety-critical path planners. However, these methods fall short of providing a realistic path considering both the algorithm’s run-time complexity and enforcement of the safety-critical constraints. This paper proposes a novel motion planning approach using the well-known Rapidly Exploring Random Trees (RRT) algorithm that enforces both CBF and the robot Kinodynamic constraints to generate a safety-critical path. The proposed algorithm also outputs the corresponding control signals that resulted in the obstacle-free path. The approach also allows considering model uncertainties by incorporating the robust CBF constraints into the proposed"
31,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Dual-arm Assembly Planning Considering Gravitational Constraints,2019,,Ryota Moriyama; Weiwei Wan; Kensuke Harada,https://doi.org/10.1109/iros40897.2019.8967883,https://openalex.org/W3003379106,https://openalex.org/W3003379106,21,1,task and motion planning constraints,68.691,GRASP; Motion planning; Planner; Robot; Computer science; Dual (grammatical number); Task (project management); Motion (physics); Plan (archaeology); Robotic arm; Artificial intelligence; Computer vision,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Planning dual-arm assembly of more than three objects is a challenging Task and Motion Planning (TAMP) problem. The assembly planner shall consider not only the pose constraints of objects and robots, but also the gravitational constraints that may break the finished part. This paper proposes a planner to plan the dual-arm assembly of more than three objects. It automatically generates the grasp configurations and assembly poses, and simultaneously searches and backtracks the grasp space and assembly space to accelerate the motion planning of robot arms. Meanwhile, the proposed method considers gravitational constraints during robot motion planning to avoid breaking the finished part. In the experiments and analysis section, the time cost of each process and the influence of different parameters used in the proposed planner are compared a"
32,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,The new analog: A protocol for linking design and construction intent with algorithmic planning for robotic assembly of complex structures,2021,,Yijiang Huang; Pok Yin Victor Leung; Caelan Reed Garrett; Fabio Gramazio; Matthias Köhler; Caitlin Mueller,https://doi.org/10.1145/3485114.3485122,https://openalex.org/W3207735868,https://openalex.org/W3207735868,7,1,symbolic planning geometric feasibility robotics,68.6794,Flexibility (engineering); Robot; Robotics; Computer science; Motion planning; Task (project management); Motion (physics); Protocol (science); Artificial intelligence; Human–computer interaction; Engineering; Systems engineering,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Construction robotics are increasingly popular in the architectural fabrication community due to their accuracy and flexibility. Because of their high degree of motion freedom, these tools are able to assemble complex structures with irregular designs, which advances architectural aesthetics and structural performance. However, automated task and motion planning (TAMP) for a robot to assemble non-repetitive objects can be challenging due to (1) a non-repetitive assembly pattern (2) the need for a continuous robotic motion throughout a sequence of movement (3) a congested construction scene and (4) occasional robot configuration constraints due to taught positions. Recent work has already begun to address these challenges for repetitive assembly processes, where the robot repeats a pattern of primitive behaviors (e.g. brick stacking or spa"
33,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Efficiently combining task and motion planning using geometric constraints,2014,The International Journal of Robotics Research,Fabien Lagriffoul; Dimitar Dimitrov; Julien Bidot; Alessandro Saffiotti; Lars Karlsson,https://doi.org/10.1177/0278364914545811,https://openalex.org/W2135319191,https://openalex.org/W2135319191,110,4,robot planning constraints,68.6095,Motion planning; Task (project management); Computer science; Set (abstract data type); Constraint (computer-aided design); Action (physics); Kinematics; Process (computing); Artificial intelligence; Geometric programming; Robot; Mathematical optimization,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We propose a constraint-based approach to address a class of problems encountered in combined task and motion planning (CTAMP), which we call kinematically constrained problems. CTAMP is a hybrid planning process in which task planning and geometric reasoning are interleaved. During this process, symbolic action sequences generated by a task planner are geometrically evaluated. This geometric evaluation is a search problem per se, which we refer to as geometric backtrack search. In kinematically constrained problems, a significant computational effort is spent on geometric backtrack search, which impairs search at the task level. At the basis of our approach to address this problem, is the introduction of an intermediate layer between task planning and geometric reasoning. A set of constraints is automatically generated from the symbolic "
34,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Sampling-based methods for factored task and motion planning,2018,The International Journal of Robotics Research,Caelan Reed Garrett; Tomás Lozano‐Pérez; Leslie Pack Kaelbling,https://doi.org/10.1177/0278364918802962,https://openalex.org/W2735300570,https://openalex.org/W2735300570,81,3,task and motion planning constraints,68.4067,Curse of dimensionality; Intersection (aeronautics); Mathematical optimization; Sampling (signal processing); Computer science; Set (abstract data type); Class (philosophy); Motion planning; Domain (mathematical analysis); Task (project management); State (computer science); Dimension (graph theory),Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"This paper presents a general-purpose formulation of a large class of discrete-time planning problems, with hybrid state and control-spaces, as factored transition systems. Factoring allows state transitions to be described as the intersection of several constraints each affecting a subset of the state and control variables. Robotic manipulation problems with many movable objects involve constraints that only affect several variables at a time and therefore exhibit large amounts of factoring. We develop a theoretical framework for solving factored transition systems with sampling-based algorithms. The framework characterizes conditions on the submanifold in which solutions lie, leading to a characterization of robust feasibility that incorporates dimensionality-reducing constraints. It then connects those conditions to corresponding condi"
35,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Kinematics and Local Motion Planning for Quasi-static Whole-body Mobile Manipulation,2016,,Krishna Shankar,https://doi.org/10.7907/z9kk98rx.,https://openalex.org/W2516038218,https://openalex.org/W2516038218,3,1,mobile manipulation task planning constraints,67.8863,Kinematics; Mobile manipulator; Mobile robot; Task (project management); Base (topology); Motion planning; Control engineering; Robot; Computer science; Degrees of freedom (physics and chemistry); Engineering; Constraint (computer-aided design),"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"This thesis studies mobile robotic manipulators, where one or more robot manipulator arms are
integrated with a mobile robotic base. The base could be a wheeled or tracked vehicle, or it might be a
multi-limbed locomotor. As robots are increasingly deployed in complex and unstructured environments,
the need for mobile manipulation increases. Mobile robotic assistants have the potential to revolutionize human
lives in a large variety of settings including home, industrial and outdoor environments. Mobile Manipulation is the use or study of such mobile robots as they interact with physical
objects in their environment. As compared to fixed base manipulators, mobile manipulators can take
advantage of the base mechanism’s added degrees of freedom in the task planning and execution process.
But their use also poses new problems in the a"
36,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,A Survey of Optimization-based Task and Motion Planning: From Classical To Learning Approaches,2024,arXiv (Cornell University),Zhigen Zhao; Shuo Chen; Yan Ding; Ziyi Zhou; Shiqi Zhang; Danfei Xu; et al.,https://doi.org/10.48550/arxiv.2404.02817,https://openalex.org/W4393969211,https://openalex.org/W4393969211,3,1,PDDL action model learning robotics,67.7863,Task (project management); Motion (physics); Computer science; Motion planning; Artificial intelligence; Human–computer interaction; Engineering; Systems engineering; Robot,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; training distribution covers deployment constraint activations; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Task and Motion Planning (TAMP) integrates high-level task planning and low-level motion planning to equip robots with the autonomy to effectively reason over long-horizon, dynamic tasks. Optimization-based TAMP focuses on hybrid optimization approaches that define goal conditions via objective functions and are capable of handling open-ended goals, robotic dynamics, and physical interaction between the robot and the environment. Therefore, optimization-based TAMP is particularly suited to solve highly complex, contact-rich locomotion and manipulation problems. This survey provides a comprehensive review on optimization-based TAMP, covering (i) planning domain representations, including action description languages and temporal logic, (ii) individual solution strategies for components of TAMP, including AI planning and trajectory optimiza"
37,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,PROTAMP-RRT: A Probabilistic Integrated Task and Motion Planner Based on RRT,2023,IEEE Robotics and Automation Letters,Alessio Saccuti; Riccardo Monica; Jacopo Aleotti,https://doi.org/10.1109/lra.2023.3327657,https://openalex.org/W4387934905,https://openalex.org/W4387934905,9,1,symbolic planning geometric feasibility robotics,67.4026,Probabilistic logic; Task (project management); Motion planning; Computer science; Robot; Motion (physics); Planner; Plan (archaeology); Random tree; Artificial intelligence; State space; Probabilistic roadmap,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Solving complex robot manipulation tasks requires a Task and Motion Planner (TAMP) that searches for a sequence of symbolic actions, i.e. a task plan, and also computes collision-free motion paths. As the task planner and the motion planner are closely interconnected TAMP is considered a challenging problem. In this paper, a Probabilistic Integrated Task and Motion Planner (PROTAMP-RRT) is presented. The proposed method is based on a unified Rapidly-exploring Random Tree (RRT) that operates on both the geometric space and the symbolic space. The RRT is guided by the task plan and it is enhanced with a probabilistic model that estimates the probability of sampling a new robot configuration towards the next sub-goal of the task plan. When the RRT is extended, the probabilistic model is updated alongside. The probabilistic model is used to g"
38,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Task and Motion Informed Trees (TMIT*): Almost-Surely Asymptotically Optimal Integrated Task and Motion Planning,2022,IEEE Robotics and Automation Letters,Wil Thomason; Marlin P. Strub; Jonathan D. Gammell,https://doi.org/10.1109/lra.2022.3199676,https://openalex.org/W4293769215,https://openalex.org/W4293769215,19,2,task and motion planning constraints,67.1957,Motion planning; Task (project management); Computer science; Asymptotically optimal algorithm; Mathematical optimization; Motion (physics); Benchmark (surveying); Optimal control; Completeness (order theory); Realization (probability); Algorithm; Artificial intelligence,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"High-level autonomy requires discrete and continuous reasoning to decide both what actions to take and how to execute them. Integrated Task and Motion Planning (TMP) algorithms solve these hybrid problems jointly to consider constraints between the discrete symbolic actions (i.e., the <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">task plan</i> ) and their continuous geometric realization (i.e., <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">motion plans</i> ). This joint approach solves more difficult problems than approaches that address the task and motion subproblems independently. TMP algorithms combine and extend results from both task and motion planning. TMP has mainly focused on computational performance and completeness and less"
